name;open;high;low;close;volume;marketCap;timestamp
"2781";0.9993411754;1.001333893;0.9989584894;0.9993440386;349768394942.01;112867606177.86;"2024-06-17T00:00:00.000Z"
"2781";0.9993698479;1.0004950447;0.9972236508;0.9984086588;379125845309.89;112731812369.08;"2024-06-24T00:00:00.000Z"
"2781";0.9983801635;1.0011566545;0.9982077178;0.9998319619;407870427424.9;112204931885.8;"2024-07-01T00:00:00.000Z"
"2781";0.9998122584;1.0019150016;0.9994446569;1.0002796718;349896146547.66;112498379290.88;"2024-07-08T00:00:00.000Z"
"2781";1.0004424882;1.0016858923;0.9996113626;1.0001910077;413906013479.64;114061252605.11;"2024-07-15T00:00:00.000Z"
"2781";1.0001933352;1.0020439248;0.9993912862;0.9999081969;383009862652.78;114407348239.49;"2024-07-22T00:00:00.000Z"
"2781";0.9999143932;1.0012630083;0.9983031269;0.999680481;413215400274.79;114482501637.88;"2024-07-29T00:00:00.000Z"
"2781";0.9996056441;1.0024999132;0.9986223644;1.0000454284;599479869677.6;115644012878.4;"2024-08-05T00:00:00.000Z"
"2781";1.0000471645;1.0018650228;0.9995865343;1.0006415178;334977685776.56;116930616831;"2024-08-12T00:00:00.000Z"
"2781";1.0003887586;1.0019330762;0.999436611;1.0005452761;352198429567.77;117924482898.19;"2024-08-19T00:00:00.000Z"
"2781";1.000512878;1.0024287695;0.9992096187;1.0000057832;356390772596.19;118233284750.36;"2024-08-26T00:00:00.000Z"
"2781";1.0000379132;1.0017378982;0.9986448442;0.9999346108;371136951674.45;118212522814.75;"2024-09-02T00:00:00.000Z"
"2781";1.0001449823;1.0021886913;0.999345196;1.000068364;371342487739.28;118816936252.37;"2024-09-09T00:00:00.000Z"
"2781";1.0000538543;1.0019521115;0.9994651433;1.0000883688;377531045538.85;119175568394.81;"2024-09-16T00:00:00.000Z"
"2781";1.0001118664;1.0019301179;0.9995525194;1.0001396297;374484826589.39;119535637477;"2024-09-23T00:00:00.000Z"
"2781";1.0001408567;1.0017697988;0.9990742979;0.9998459695;398550935863.6;119652966331.92;"2024-09-30T00:00:00.000Z"
"2781";0.9997962982;1.0011429787;0.9985089762;0.9995565494;380734013267.72;119684031434.47;"2024-10-07T00:00:00.000Z"
"2781";0.9995484054;1.0011322565;0.9981383123;0.9997024261;413222777447.41;120131870663.43;"2024-10-14T00:00:00.000Z"
"2781";0.9996911932;1.000534112;0.9969260162;0.9987454662;400652880515.63;120188351108.25;"2024-10-21T00:00:00.000Z"
"2781";0.9986935141;1.0007882538;0.9981597262;0.9995908102;526801339627.56;120525662308.96;"2024-10-28T00:00:00.000Z"
"2781";0.9995763787;1.0018000406;0.9989084679;1.0006928905;782363316815.5;123294894268.97;"2024-11-04T00:00:00.000Z"
"2781";1.0007622752;1.0027020358;0.9991845213;1.0002189078;1354455092641.2;127562925986.62;"2024-11-11T00:00:00.000Z"
"2781";1.0002009014;1.002671034;0.9989759562;1.0008625683;1345093275278.35;132552148318.01;"2024-11-18T00:00:00.000Z"
"2781";1.0010403724;1.0016598904;0.9990270224;1.0007624504;1178369468794.79;134144285330.88;"2024-11-25T00:00:00.000Z"
"2781";1.0007921296;1.0026832825;0.999358259;1.0008011372;1462410622457.99;138022722412.78;"2024-12-02T00:00:00.000Z"
"2781";1.0006832219;1.0023960583;0.9981720218;0.9994379918;1415064013724.97;140162036067.23;"2024-12-09T00:00:00.000Z"
"2781";0.9993466354;1.0007171317;0.9976903091;0.999072968;1735662831608.44;139736226727.99;"2024-12-16T00:00:00.000Z"
"2781";0.9990234777;1.0005977841;0.9976152774;0.9981475179;803546858823.05;138748711789.93;"2024-12-23T00:00:00.000Z"
"2781";0.998155715;1.0006060697;0.9971464024;0.9998543493;722389417232.85;137250898906.86;"2024-12-30T00:00:00.000Z"
"2781";0.9998524668;1.0014641509;0.9988778195;0.9995340948;908683688505.77;137388313633.26;"2025-01-06T00:00:00.000Z"
"2781";0.9995413559;1.0010009363;0.9978813656;0.999032817;1140581521246.01;138215527520.66;"2025-01-13T00:00:00.000Z"
